,merk,price_total,price_cash,price_month,keterangan
379,2018        Toyota               CALYA        G        1.2,Rp        126.000.000,Rp 130.000.000 (Cash),"Rp 2,57 jt/bln",55.902 km Automatic Jakarta Selatan
380,2019        Daihatsu               AYLA        R        1.2,Rp        123.000.000,Rp 127.000.000 (Cash),"Rp 2,51 jt/bln",10.301 km Manual Tangerang Selatan
381,2020        Toyota               AVANZA        G        1.3,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",48.934 km Automatic Jakarta Pusat
382,2017        Honda               BRIO        SATYA E        1.2,Rp        142.000.000,Rp 146.000.000 (Cash),"Rp 2,89 jt/bln",43.801 km Automatic Bandung
383,2022        Suzuki               S-PRESSO                1.0,Rp        145.000.000,Rp 149.000.000 (Cash),"Rp 2,95 jt/bln",13.304 km Automatic Malang
384,2019        Daihatsu               AYLA        X        1.0,Rp        107.000.000,Rp 110.000.000 (Cash),"Rp 2,18 jt/bln",43.668 km Manual Depok
385,2018        Wuling               CONFERO        S C        1.5,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",52.379 km Manual Surabaya
386,,,,,
387,2017        Honda               CR-V        TURBO        1.5,Rp        363.000.000,Rp 373.000.000 (Cash),"Rp 7,40 jt/bln",75.302 km Automatic Jakarta Utara
388,2018        Chevrolet               TRAX        TURBO PREMIER        1.4,Rp        195.000.000,Rp 201.000.000 (Cash),"Rp 3,97 jt/bln",68.421 km Automatic Bekasi
389,2020        Wuling               CONFERO        2WD        1.5,Rp        122.000.000,Rp 126.000.000 (Cash),"Rp 2,49 jt/bln",18.298 km Manual Surabaya
390,2019        Nissan               LIVINA        EL        1.5,Rp        171.000.000,Rp 176.000.000 (Cash),"Rp 3,48 jt/bln",40.857 km Manual Jakarta Pusat
391,2019        Toyota               AGYA        G TRD        1.2,Rp        129.000.000,Rp 133.000.000 (Cash),"Rp 2,63 jt/bln",16.097 km Manual Jakarta Utara
392,2017        Honda               MOBILIO        E        1.5,Rp        156.000.000,Rp 160.000.000 (Cash),"Rp 3,18 jt/bln",40.022 km Manual Jakarta Utara
393,,,,,
394,2018        Honda               HR-V        E        1.5,Rp        253.000.000,Rp 260.000.000 (Cash),"Rp 5,15 jt/bln",35.103 km Automatic Tangerang Selatan
395,2019        Toyota               CALYA        G        1.2,Rp        138.000.000,Rp 142.000.000 (Cash),"Rp 2,81 jt/bln",33.028 km Automatic Bekasi
396,2020        Toyota               CALYA        G        1.2,Rp        140.000.000,Rp 144.000.000 (Cash),"Rp 2,85 jt/bln",50.642 km Manual Depok
397,2020        Suzuki               KARIMUN        GL        1.0,Rp        108.000.000,Rp 111.000.000 (Cash),"Rp 2,20 jt/bln",24.857 km Manual Depok
398,2017        Suzuki               IGNIS        GX        1.2,Rp        132.000.000,Rp 136.000.000 (Cash),"Rp 2,69 jt/bln",25.937 km Automatic Bekasi
399,2018        Wuling               CORTEZ        L LUX        1.8,Rp        167.000.000,Rp 172.000.000 (Cash),"Rp 3,40 jt/bln",74.790 km Automatic Jakarta Pusat
400,2017        Wuling               CONFERO        S C        1.5,Rp        108.000.000,Rp 111.000.000 (Cash),"Rp 2,20 jt/bln",57.010 km Manual Bekasi
401,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        224.000.000,Rp 230.000.000 (Cash),"Rp 4,56 jt/bln",50.387 km Automatic Jakarta Timur
402,2018        Suzuki               IGNIS        GX AGS        1.2,Rp        140.000.000,Rp 144.000.000 (Cash),"Rp 2,85 jt/bln",41.332 km Automatic Bogor
403,2019        Nissan               LIVINA        VL        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",31.845 km Automatic Bekasi
404,2018        Toyota               CALYA        G        1.2,Rp        121.000.000,Rp 125.000.000 (Cash),"Rp 2,47 jt/bln",44.516 km Manual Bekasi
405,2019        Nissan               LIVINA        VL        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",51.268 km Automatic Jakarta Selatan
406,,,,,
407,2013        Suzuki               ERTIGA        GX        1.4,Rp        126.000.000,Rp 130.000.000 (Cash),"Rp 2,57 jt/bln",69.160 km Manual Jakarta Pusat
408,2017        Daihatsu               SIGRA        R STD        1.2,Rp        121.000.000,Rp 125.000.000 (Cash),"Rp 2,47 jt/bln",62.789 km Automatic Jakarta Pusat
409,2014        Toyota               KIJANG INNOVA        G        2.0,Rp        193.000.000,Rp 198.000.000 (Cash),"Rp 3,93 jt/bln",69.939 km Automatic Jakarta Pusat
410,2016        Toyota               SIENTA        V        1.5,Rp        172.000.000,Rp 177.000.000 (Cash),"Rp 3,50 jt/bln",85.871 km Automatic Bekasi
411,2018        Honda               BRIO        SATYA E        1.2,Rp        144.000.000,Rp 148.000.000 (Cash),"Rp 2,93 jt/bln",24.577 km Manual Bandung
412,2017        Toyota               YARIS        S TRD        1.5,Rp        188.000.000,Rp 193.000.000 (Cash),"Rp 3,83 jt/bln",63.493 km Automatic Bekasi
413,,,,,
414,2021        Suzuki               XL7        ALPHA        1.5,Rp        232.000.000,Rp 238.000.000 (Cash),"Rp 4,73 jt/bln",20.177 km Automatic Depok
415,2019        Daihatsu               TERIOS        R        1.5,Rp        211.000.000,Rp 217.000.000 (Cash),"Rp 4,30 jt/bln",42.320 km Manual Bekasi
416,2020        Honda               BRIO        SATYA E        1.2,Rp        156.000.000,Rp 161.000.000 (Cash),"Rp 3,18 jt/bln",18.537 km Manual Bekasi
417,2019        Honda               BR-V        PRESTIGE        1.5,Rp        217.000.000,Rp 223.000.000 (Cash),"Rp 4,42 jt/bln",34.319 km Automatic Jakarta Pusat
418,2019        Wuling               CORTEZ        T LUX        1.5,Rp        184.000.000,Rp 189.000.000 (Cash),"Rp 3,75 jt/bln",93.664 km Automatic Depok
419,2017        Suzuki               BALENO        HATCHBACK        1.4,Rp        156.000.000,Rp 161.000.000 (Cash),"Rp 3,18 jt/bln",24.622 km Manual Jakarta Pusat
420,2017        Honda               BRIO        SATYA E        1.2,Rp        139.000.000,Rp 143.000.000 (Cash),"Rp 2,83 jt/bln",48.474 km Automatic Jakarta Pusat
421,2020        Toyota               AGYA        G TRD        1.2,Rp        136.000.000,Rp 140.000.000 (Cash),"Rp 2,77 jt/bln",19.655 km Manual Jakarta Selatan
422,2019        Suzuki               BALENO        HATCHBACK        1.4,Rp        189.000.000,Rp 194.000.000 (Cash),"Rp 3,85 jt/bln",32.566 km Automatic Bekasi
423,2018        Daihatsu               XENIA        X        1.3,Rp        139.000.000,Rp 143.000.000 (Cash),"Rp 2,83 jt/bln",44.925 km Manual Bekasi
424,2018        Daihatsu               AYLA        X        1.0,Rp        106.000.000,Rp 109.000.000 (Cash),"Rp 2,16 jt/bln",15.437 km Manual Jakarta Pusat
425,2019        Suzuki               BALENO        HATCHBACK        1.4,Rp        187.000.000,Rp 192.000.000 (Cash),"Rp 3,81 jt/bln",80.522 km Automatic Jakarta Timur
426,,,,,
427,2017        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        217.000.000,Rp 223.000.000 (Cash),"Rp 4,42 jt/bln",15.474 km Automatic Bekasi
428,2021        Toyota               RAIZE        GR        1.0,Rp        236.000.000,Rp 243.000.000 (Cash),"Rp 4,81 jt/bln",20.920 km Automatic Jakarta Pusat
429,2018        Daihatsu               AYLA        M        1.0,Rp        105.000.000,Rp 108.000.000 (Cash),"Rp 2,14 jt/bln",11.495 km Automatic Bandung
430,2017        Honda               HR-V        S        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",51.517 km Automatic Malang
431,2014        Suzuki               SWIFT        GX        1.4,Rp        135.000.000,Rp 139.000.000 (Cash),"Rp 2,75 jt/bln",69.824 km Manual Malang
432,2015        Toyota               KIJANG INNOVA        G LUX        2.0,Rp        201.000.000,Rp 207.000.000 (Cash),"Rp 4,10 jt/bln",76.568 km Automatic Jakarta Utara
433,,,,,
434,2019        BMW               3        20I (CKD)        2.0,Rp        551.000.000,Rp 566.000.000 (Cash),"Rp 11,23 jt/bln",47.554 km Automatic Jakarta Selatan
435,2019        Honda               BRIO        E        1.2,Rp        151.000.000,Rp 155.000.000 (Cash),"Rp 3,08 jt/bln",47.595 km Automatic Jakarta Barat
436,2018        Mercedes-Benz               GLC        200 AMG        2.0,Rp        744.000.000,Rp 764.000.000 (Cash),"Rp 15,16 jt/bln",14.665 km Automatic Tangerang Selatan
437,2016        Honda               HR-V        PRESTIGE        1.8,Rp        240.000.000,Rp 247.000.000 (Cash),"Rp 4,89 jt/bln",68.570 km Automatic Jakarta Utara
438,2018        Daihatsu               SIRION        M804RS        1.3,Rp        146.000.000,Rp 150.000.000 (Cash),"Rp 2,97 jt/bln",74.583 km Automatic Tangerang Selatan
439,2021        Wuling               ALMAZ        S+T        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",22.535 km Automatic Bogor
440,2018        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",67.454 km Automatic Jakarta Barat
441,2018        Daihatsu               SIGRA        R STD        1.2,Rp        118.000.000,Rp 122.000.000 (Cash),"Rp 2,40 jt/bln",26.504 km Manual Bekasi
442,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        207.000.000,Rp 213.000.000 (Cash),"Rp 4,22 jt/bln",83.528 km Automatic Jakarta Utara
443,2020        Daihatsu               AYLA        X        1.0,Rp        109.000.000,Rp 112.000.000 (Cash),"Rp 2,22 jt/bln",7.520 km Manual Jakarta Selatan
444,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",79.897 km Automatic Bogor
445,2017        Honda               JAZZ        RS        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",81.119 km Automatic Bandung
446,,,,,
447,2022        Toyota               AVANZA        G        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",7.069 km Manual Malang
448,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        221.000.000,Rp 227.000.000 (Cash),"Rp 4,50 jt/bln",37.206 km Automatic Tangerang Selatan
449,2018        Suzuki               ERTIGA        GX        1.4,Rp        168.000.000,Rp 173.000.000 (Cash),"Rp 3,42 jt/bln",63.393 km Automatic Tangerang Selatan
450,2019        Suzuki               ERTIGA        GX        1.5,Rp        188.000.000,Rp 193.000.000 (Cash),"Rp 3,83 jt/bln",54.123 km Automatic Bogor
451,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",49.088 km Automatic Bekasi
452,2020        Honda               BRIO        SATYA E        1.2,Rp        162.000.000,Rp 167.000.000 (Cash),"Rp 3,30 jt/bln",27.019 km Automatic Jakarta Selatan
453,,,,,
454,2016        Toyota               SIENTA        Q        1.5,Rp        174.000.000,Rp 179.000.000 (Cash),"Rp 3,55 jt/bln",109.537 km Automatic Jakarta Timur
455,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",49.002 km Automatic Tangerang Selatan
456,2020        Suzuki               BALENO        HATCHBACK        1.4,Rp        169.000.000,Rp 174.000.000 (Cash),"Rp 3,44 jt/bln",39.785 km Manual Jakarta Barat
457,2020        Honda               BRIO        SATYA E        1.2,Rp        150.000.000,Rp 154.000.000 (Cash),"Rp 3,06 jt/bln",19.558 km Manual Bogor
458,2017        Daihatsu               XENIA        R SPORTY        1.3,Rp        149.000.000,Rp 153.000.000 (Cash),"Rp 3,04 jt/bln",90.740 km Manual Bogor
459,2019        Honda               BRIO        RS        1.2,Rp        166.000.000,Rp 171.000.000 (Cash),"Rp 3,38 jt/bln",8.230 km Manual Tangerang Selatan
460,2019        Daihatsu               TERIOS        R        1.5,Rp        202.000.000,Rp 208.000.000 (Cash),"Rp 4,12 jt/bln",48.119 km Automatic Bandung
461,2018        Suzuki               SX4        S-CROSS        1.5,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",53.919 km Automatic Jakarta Barat
462,2019        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",57.340 km Automatic Bogor
463,2019        Toyota               AGYA        G TRD        1.2,Rp        134.000.000,Rp 138.000.000 (Cash),"Rp 2,73 jt/bln",69.959 km Automatic Tangerang Selatan
464,2016        Datsun               GO PANCA        T        1.2,Rp        81.000.000,Rp 84.000.000 (Cash),"Rp 1,65 jt/bln",96.809 km Manual Malang
465,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        227.000.000,Rp 233.000.000 (Cash),"Rp 4,63 jt/bln",26.790 km Automatic Surabaya
466,,,,,
467,2017        Honda               MOBILIO        RS        1.5,Rp        174.000.000,Rp 179.000.000 (Cash),"Rp 3,55 jt/bln",82.142 km Automatic Bandung
468,2017        Honda               MOBILIO        RS        1.5,Rp        175.000.000,Rp 180.000.000 (Cash),"Rp 3,57 jt/bln",68.084 km Automatic Jakarta Barat
469,2018        Toyota               VOXY                2.0,Rp        385.000.000,Rp 395.000.000 (Cash),"Rp 7,84 jt/bln",43.427 km Automatic Jakarta Barat
470,2019        Daihatsu               TERIOS        X DLX        1.5,Rp        195.000.000,Rp 200.000.000 (Cash),"Rp 3,97 jt/bln",59.669 km Automatic Bekasi
471,2021        Honda               CITY        RS HATCHBACK        1.5,Rp        273.000.000,Rp 281.000.000 (Cash),"Rp 5,56 jt/bln",7.486 km Automatic Tangerang Selatan
472,2018        Honda               ACCORD        VTI-L        2.4,Rp        400.000.000,Rp 411.000.000 (Cash),"Rp 8,15 jt/bln",73.224 km Automatic Jakarta Timur
473,,,,,
474,2020        Honda               BRIO        SATYA E        1.2,Rp        150.000.000,Rp 154.000.000 (Cash),"Rp 3,06 jt/bln",30.893 km Manual Jakarta Timur
475,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        211.000.000,Rp 217.000.000 (Cash),"Rp 4,30 jt/bln",77.105 km Automatic Bekasi
476,2019        Honda               BRIO        SATYA E        1.2,Rp        144.000.000,Rp 148.000.000 (Cash),"Rp 2,93 jt/bln",3.500 km Manual Bogor
477,2021        Toyota               AVANZA        VELOZ        1.5,Rp        229.000.000,Rp 235.000.000 (Cash),"Rp 4,67 jt/bln",11.570 km Automatic Bekasi
478,2018        Honda               BRIO        SATYA E        1.2,Rp        125.000.000,Rp 129.000.000 (Cash),"Rp 2,55 jt/bln",55.241 km Manual Bandung
479,2019        Honda               MOBILIO        RS        1.5,Rp        198.000.000,Rp 204.000.000 (Cash),"Rp 4,03 jt/bln",72.147 km Automatic Malang
480,2020        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        233.000.000,Rp 239.000.000 (Cash),"Rp 4,75 jt/bln",45.681 km Automatic Bogor
481,2019        Nissan               LIVINA        VL        1.5,Rp        205.000.000,Rp 211.000.000 (Cash),"Rp 4,18 jt/bln",62.001 km Automatic Jakarta Selatan
482,2018        Daihatsu               TERIOS        R        1.5,Rp        193.000.000,Rp 198.000.000 (Cash),"Rp 3,93 jt/bln",103.404 km Manual Malang
483,2017        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",47.907 km Automatic Bogor
484,2019        Toyota               RUSH        G        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",33.190 km Automatic Jakarta Timur
485,2017        Toyota               KIJANG INNOVA        REBORN G        2.4,Rp        308.000.000,Rp 316.000.000 (Cash),"Rp 6,28 jt/bln",23.220 km Automatic Tangerang Selatan
486,,,,,
487,2021        Toyota               AVANZA        G        1.3,Rp        191.000.000,Rp 196.000.000 (Cash),"Rp 3,89 jt/bln",5.471 km Manual Depok
488,2016        Toyota               FORTUNER        VRZ        2.4,Rp        377.000.000,Rp 387.000.000 (Cash),"Rp 7,68 jt/bln",110.016 km Automatic Bogor
489,2019        Mitsubishi               PAJERO SPORT        DAKAR 4X2        2.4,Rp        480.000.000,Rp 493.000.000 (Cash),"Rp 9,78 jt/bln",18.221 km Automatic Tangerang Selatan
490,2019        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",55.067 km Automatic Jakarta Utara
491,2017        Honda               CR-V        TURBO PRESTIGE        1.5,Rp        385.000.000,Rp 395.000.000 (Cash),"Rp 7,84 jt/bln",85.677 km Automatic Bogor
492,2018        Daihatsu               TERIOS        R        1.5,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",79.237 km Automatic Jakarta Timur
493,,,,,
494,2019        Mitsubishi               PAJERO SPORT        DAKAR ULTIMATE 4X2        2.4,Rp        458.000.000,Rp 470.000.000 (Cash),"Rp 9,33 jt/bln",65.257 km Automatic Bogor
495,2022        Toyota               VELOZ        Q TSS        1.5,Rp        286.000.000,Rp 294.000.000 (Cash),"Rp 5,83 jt/bln",6.793 km Automatic Bogor
496,2021        Toyota               VELOZ        Q        1.5,Rp        266.000.000,Rp 273.000.000 (Cash),"Rp 5,42 jt/bln",38.494 km Automatic Tangerang Selatan
497,2019        Daihatsu               XENIA        X STD        1.3,Rp        158.000.000,Rp 163.000.000 (Cash),"Rp 3,22 jt/bln",39.254 km Manual Jakarta Barat
498,2021        Honda               BRIO        RS        1.2,Rp        193.000.000,Rp 198.000.000 (Cash),"Rp 3,93 jt/bln",15.046 km Automatic Tangerang Selatan
499,2018        Daihatsu               TERIOS        R        1.5,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",62.827 km Automatic Depok
500,2017        Daihatsu               AYLA        M        1.0,Rp        93.000.000,Rp 96.000.000 (Cash),"Rp 1,89 jt/bln",36.256 km Manual Jakarta Utara
501,2018        Honda               MOBILIO        E        1.5,Rp        167.000.000,Rp 172.000.000 (Cash),"Rp 3,40 jt/bln",70.071 km Automatic Jakarta Barat
502,2022        Suzuki               ERTIGA        GX        1.5,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",2.243 km Automatic Jakarta Barat
503,2019        Honda               HR-V        E        1.5,Rp        265.000.000,Rp 272.000.000 (Cash),"Rp 5,40 jt/bln",46.859 km Automatic Bekasi
504,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        219.000.000,Rp 225.000.000 (Cash),"Rp 4,46 jt/bln",30.267 km Automatic Jakarta Timur
505,2019        Daihatsu               AYLA        D+        1.0,Rp        102.000.000,Rp 105.000.000 (Cash),"Rp 2,08 jt/bln",33.009 km Manual Jakarta Utara
506,,,,,
507,2020        Toyota               KIJANG INNOVA        G        2.0,Rp        308.000.000,Rp 316.000.000 (Cash),"Rp 6,28 jt/bln",25.992 km Automatic Tangerang Selatan
508,2016        Toyota               KIJANG INNOVA        Q-N140        2.0,Rp        276.000.000,Rp 284.000.000 (Cash),"Rp 5,62 jt/bln",97.943 km Automatic Bandung
509,2020        Toyota               YARIS        S TRD        1.5,Rp        233.000.000,Rp 239.000.000 (Cash),"Rp 4,75 jt/bln",15.945 km Automatic Jakarta Barat
510,2021        Honda               CITY        RS HATCHBACK        1.5,Rp        269.000.000,Rp 276.000.000 (Cash),"Rp 5,48 jt/bln",13.461 km Automatic Jakarta Barat
511,2016        Honda               BRIO        E        1.2,Rp        127.000.000,Rp 131.000.000 (Cash),"Rp 2,59 jt/bln",58.073 km Automatic Bogor
512,2016        Honda               BR-V        E PRESTIGE        1.5,Rp        177.000.000,Rp 182.000.000 (Cash),"Rp 3,61 jt/bln",119.610 km Automatic Jakarta Barat
513,,,,,
514,2021        Toyota               RAIZE        GR TWO TONE        1.0,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",26.469 km Automatic Jakarta Barat
515,2019        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        222.000.000,Rp 228.000.000 (Cash),"Rp 4,52 jt/bln",69.025 km Automatic Bogor
516,2020        Mitsubishi               XPANDER        CROSS PREMIUM        1.5,Rp        260.000.000,Rp 267.000.000 (Cash),"Rp 5,30 jt/bln",17.350 km Automatic Jakarta Utara
517,2016        Honda               HR-V        E        1.5,Rp        209.000.000,Rp 215.000.000 (Cash),"Rp 4,26 jt/bln",93.048 km Automatic Tangerang Selatan
518,2021        Wuling               ALMAZ        RS LT LUX + SC CVT        1.5,Rp        295.000.000,Rp 303.000.000 (Cash),"Rp 6,01 jt/bln",37.579 km Automatic Tangerang Selatan
519,2021        Toyota               VELOZ        Q        1.5,Rp        271.000.000,Rp 278.000.000 (Cash),"Rp 5,52 jt/bln",16.755 km Automatic Tangerang Selatan
520,2021        Toyota               RUSH        S TRD        1.5,Rp        240.000.000,Rp 247.000.000 (Cash),"Rp 4,89 jt/bln",22.253 km Automatic Jakarta Utara
521,2021        Toyota               AVANZA        G        1.3,Rp        191.000.000,Rp 196.000.000 (Cash),"Rp 3,89 jt/bln",40.655 km Automatic Jakarta Barat
522,2018        Daihatsu               TERIOS        R        1.5,Rp        198.000.000,Rp 204.000.000 (Cash),"Rp 4,03 jt/bln",65.168 km Automatic Depok
523,2014        Ford               FIESTA        S        1.5,Rp        124.000.000,Rp 128.000.000 (Cash),"Rp 2,53 jt/bln",104.408 km Automatic Bandung
524,2017        Honda               HR-V        S        1.5,Rp        198.000.000,Rp 204.000.000 (Cash),"Rp 4,03 jt/bln",109.174 km Automatic Jakarta Barat
525,2019        Suzuki               ERTIGA        GX        1.5,Rp        189.000.000,Rp 194.000.000 (Cash),"Rp 3,85 jt/bln",33.265 km Automatic Depok
526,,,,,
527,2017        Toyota               AVANZA        VELOZ        1.5,Rp        165.000.000,Rp 170.000.000 (Cash),"Rp 3,36 jt/bln",57.794 km Manual Bekasi
528,2017        Honda               MOBILIO        E        1.5,Rp        155.000.000,Rp 159.000.000 (Cash),"Rp 3,16 jt/bln",28.580 km Manual Tangerang Selatan
529,2021        Toyota               KIJANG INNOVA        G LUX        2.0,Rp        328.000.000,Rp 337.000.000 (Cash),"Rp 6,68 jt/bln",32.934 km Automatic Jakarta Barat
530,2017        Chevrolet               TRAILBLAZER        LTZ        2.5,Rp        305.000.000,Rp 313.000.000 (Cash),"Rp 6,21 jt/bln",66.961 km Automatic Jakarta Barat
531,2018        Wuling               CORTEZ        L LUX        1.8,Rp        148.000.000,Rp 152.000.000 (Cash),"Rp 3,02 jt/bln",41.578 km Manual Jakarta Selatan
532,2019        Toyota               AGYA        G        1.2,Rp        120.000.000,Rp 124.000.000 (Cash),"Rp 2,44 jt/bln",30.404 km Manual Jakarta Pusat
533,,,,,
534,2018        Toyota               KIJANG INNOVA        REBORN G        2.0,Rp        267.000.000,Rp 274.000.000 (Cash),"Rp 5,44 jt/bln",61.309 km Automatic Jakarta Barat
535,2018        Toyota               RUSH        S        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",35.210 km Automatic Bogor
536,2022        Suzuki               ERTIGA        GL        1.5,Rp        199.000.000,Rp 205.000.000 (Cash),"Rp 4,05 jt/bln",1.352 km Manual Jakarta Barat
537,2019        Honda               JAZZ        RS        1.5,Rp        247.000.000,Rp 254.000.000 (Cash),"Rp 5,03 jt/bln",60.409 km Automatic Depok
538,2021        Toyota               RAIZE        GR SPORT        1.0,Rp        226.000.000,Rp 232.000.000 (Cash),"Rp 4,60 jt/bln",8.414 km Automatic Depok
539,2021        Mitsubishi               XPANDER        EXCEED        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",41.595 km Automatic Jakarta Selatan
540,2020        Suzuki               BALENO        HATCHBACK        1.4,Rp        174.000.000,Rp 179.000.000 (Cash),"Rp 3,55 jt/bln",11.307 km Manual Bogor
541,2021        Toyota               AVANZA        G TSS        1.5,Rp        233.000.000,Rp 239.000.000 (Cash),"Rp 4,75 jt/bln",30.129 km Automatic Jakarta Barat
542,2015        Toyota               YARIS        TRD SPORTIVO        1.5,Rp        170.000.000,Rp 175.000.000 (Cash),"Rp 3,46 jt/bln",99.707 km Automatic Jakarta Barat
543,2017        Honda               BR-V        E PRESTIGE        1.5,Rp        183.000.000,Rp 188.000.000 (Cash),"Rp 3,73 jt/bln",75.046 km Automatic Bekasi
544,2016        Chevrolet               TRAX        TURBO LTZ        1.4,Rp        156.000.000,Rp 160.000.000 (Cash),"Rp 3,18 jt/bln",114.372 km Automatic Bogor
545,2018        Toyota               KIJANG INNOVA        REBORN V        2.4,Rp        364.000.000,Rp 374.000.000 (Cash),"Rp 7,42 jt/bln",39.691 km Automatic Bogor
546,,,,,
547,2019        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",37.246 km Automatic Jakarta Barat
548,2016        Nissan               JUKE        RX BLACK INTERIOR        1.5,Rp        167.000.000,Rp 172.000.000 (Cash),"Rp 3,40 jt/bln",116.219 km Automatic Jakarta Utara
549,2018        Suzuki               ERTIGA        DREZA        1.4,Rp        174.000.000,Rp 179.000.000 (Cash),"Rp 3,55 jt/bln",61.225 km Automatic Tangerang Selatan
550,2018        Daihatsu               TERIOS        R        1.5,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",43.369 km Manual Depok
551,2018        Toyota               RUSH        S TRD        1.5,Rp        209.000.000,Rp 215.000.000 (Cash),"Rp 4,26 jt/bln",102.703 km Automatic Tangerang Selatan
552,2019        Toyota               YARIS        S        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",24.898 km Automatic Bogor
553,,,,,
554,2016        Mitsubishi               PAJERO SPORT        DAKAR 4X2        2.4,Rp        398.000.000,Rp 409.000.000 (Cash),"Rp 8,11 jt/bln",96.664 km Automatic Tangerang Selatan
555,2013        Toyota               KIJANG INNOVA        V        2.0,Rp        178.000.000,Rp 183.000.000 (Cash),"Rp 3,63 jt/bln",108.851 km Automatic Depok
556,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",78.247 km Automatic Depok
557,2021        Toyota               AVANZA        VELOZ        1.3,Rp        204.000.000,Rp 210.000.000 (Cash),"Rp 4,16 jt/bln",27.359 km Manual Tangerang Selatan
558,2016        Toyota               FORTUNER        VRZ        2.4,Rp        377.000.000,Rp 387.000.000 (Cash),"Rp 7,68 jt/bln",86.473 km Automatic Tangerang Selatan
559,2019        Mitsubishi               XPANDER        EXCEED        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",55.378 km Automatic Jakarta Selatan
560,2017        Mitsubishi               XPANDER        SPORT        1.5,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",35.973 km Automatic Bogor
561,2018        Suzuki               ERTIGA        GX        1.5,Rp        171.000.000,Rp 176.000.000 (Cash),"Rp 3,48 jt/bln",40.578 km Manual Surabaya
562,2019        Toyota               CALYA        G        1.2,Rp        128.000.000,Rp 132.000.000 (Cash),"Rp 2,61 jt/bln",33.981 km Manual Bekasi
563,2019        Honda               BRIO        SATYA E        1.2,Rp        146.000.000,Rp 150.000.000 (Cash),"Rp 2,97 jt/bln",52.791 km Manual Tangerang Selatan
564,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",42.737 km Automatic Tangerang Selatan
565,2019        Honda               HR-V        SE        1.5,Rp        273.000.000,Rp 280.000.000 (Cash),"Rp 5,56 jt/bln",59.647 km Automatic Bogor
566,,,,,
