,merk,price_total,price_cash,price_month,keterangan
70,2021        Wuling               CORTEZ        S T LUX        1.5,Rp        190.000.000,Rp 195.000.000 (Cash),"Rp 3,87 jt/bln",6.246 km Automatic Jakarta Barat
71,2019        Mitsubishi               XPANDER        CROSS        1.5,Rp        240.000.000,Rp 247.000.000 (Cash),"Rp 4,89 jt/bln",48.820 km Automatic Jakarta Pusat
72,2021        Toyota               AVANZA        G        1.3,Rp        191.000.000,Rp 196.000.000 (Cash),"Rp 3,89 jt/bln",2.651 km Manual Jakarta Selatan
73,,,,,
74,2019        Mitsubishi               XPANDER        CROSS        1.5,Rp        240.000.000,Rp 247.000.000 (Cash),"Rp 4,89 jt/bln",47.904 km Automatic Jakarta Timur
75,2019        Nissan               LIVINA        VE        1.5,Rp        194.000.000,Rp 199.000.000 (Cash),"Rp 3,95 jt/bln",40.860 km Automatic Surabaya
76,2020        Mitsubishi               XPANDER        CROSS        1.5,Rp        249.000.000,Rp 256.000.000 (Cash),"Rp 5,07 jt/bln",35.242 km Automatic Jakarta Barat
77,2015        Nissan               X-TRAIL                2.5,Rp        209.000.000,Rp 215.000.000 (Cash),"Rp 4,26 jt/bln",118.429 km Automatic Malang
78,2020        Mitsubishi               XPANDER        CROSS        1.5,Rp        253.000.000,Rp 260.000.000 (Cash),"Rp 5,15 jt/bln",13.779 km Automatic Jakarta Timur
79,2017        Toyota               KIJANG INNOVA        REBORN G        2.0,Rp        250.000.000,Rp 257.000.000 (Cash),"Rp 5,09 jt/bln",85.401 km Manual Bogor
80,2018        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",64.361 km Automatic Jakarta Barat
81,2019        Nissan               LIVINA        VL        1.5,Rp        207.000.000,Rp 213.000.000 (Cash),"Rp 4,22 jt/bln",63.519 km Automatic Bandung
82,2022        Toyota               COROLLA CROSS        HYBRID        1.8,Rp        460.000.000,Rp 472.000.000 (Cash),"Rp 9,37 jt/bln",17.451 km Automatic Surabaya
83,2021        Wuling               ALMAZ        S+T        1.5,Rp        238.000.000,Rp 245.000.000 (Cash),"Rp 4,85 jt/bln",6.643 km Automatic Jakarta Selatan
84,2021        Toyota               AVANZA        E        1.3,Rp        182.000.000,Rp 187.000.000 (Cash),"Rp 3,71 jt/bln",39.581 km Manual Tangerang Selatan
85,2017        Toyota               AGYA        G TRD        1.2,Rp        115.000.000,Rp 118.000.000 (Cash),"Rp 2,34 jt/bln",90.068 km Manual Bandung
86,,,,,
87,2017        Honda               JAZZ        RS        1.5,Rp        218.000.000,Rp 224.000.000 (Cash),"Rp 4,44 jt/bln",73.960 km Automatic Jakarta Timur
88,2014        Mercedes-Benz               E        250 AMG        2.0,Rp        413.000.000,Rp 424.000.000 (Cash),"Rp 8,41 jt/bln",53.402 km Automatic Bandung
89,2018        Honda               JAZZ        RS        1.5,Rp        232.000.000,Rp 238.000.000 (Cash),"Rp 4,73 jt/bln",81.960 km Automatic Bogor
90,2021        Toyota               RUSH        G        1.5,Rp        226.000.000,Rp 232.000.000 (Cash),"Rp 4,60 jt/bln",22.304 km Automatic Tangerang Selatan
91,2017        Honda               JAZZ        RS        1.5,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",55.538 km Automatic Jakarta Selatan
92,2021        Daihatsu               ROCKY        R        1.0,Rp        209.000.000,Rp 215.000.000 (Cash),"Rp 4,26 jt/bln",22.071 km Automatic Bekasi
93,,,,,
94,2018        Toyota               RUSH        S TRD        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",30.534 km Automatic Bogor
95,2021        Toyota               RUSH        G        1.5,Rp        224.000.000,Rp 230.000.000 (Cash),"Rp 4,56 jt/bln",32.572 km Automatic Jakarta Utara
96,2021        Toyota               YARIS        S TRD        1.5,Rp        250.000.000,Rp 257.000.000 (Cash),"Rp 5,09 jt/bln",35.537 km Automatic Surabaya
97,2017        Chevrolet               TRAX        TURBO LTZ        1.4,Rp        180.000.000,Rp 185.000.000 (Cash),"Rp 3,67 jt/bln",72.457 km Automatic Bekasi
98,2019        Toyota               YARIS        S TRD        1.5,Rp        222.000.000,Rp 228.000.000 (Cash),"Rp 4,52 jt/bln",39.945 km Automatic Tangerang Selatan
99,2021        Mitsubishi               XPANDER        CROSS PREMIUM        1.5,Rp        271.000.000,Rp 278.000.000 (Cash),"Rp 5,52 jt/bln",32.967 km Automatic Jakarta Selatan
100,2020        Suzuki               XL7        ALPHA        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",64.669 km Automatic Bandung
101,2018        Toyota               YARIS        S TRD        1.5,Rp        211.000.000,Rp 217.000.000 (Cash),"Rp 4,30 jt/bln",54.576 km Automatic Bandung
102,2021        Toyota               AVANZA        G        1.3,Rp        192.000.000,Rp 197.000.000 (Cash),"Rp 3,91 jt/bln",3.476 km Manual Bogor
103,2020        Honda               CIVIC        TURBO ES        1.5,Rp        446.000.000,Rp 458.000.000 (Cash),"Rp 9,09 jt/bln",19.893 km Automatic Jakarta Timur
104,2021        Toyota               KIJANG INNOVA        V        2.0,Rp        384.000.000,Rp 394.000.000 (Cash),"Rp 7,82 jt/bln",24.315 km Automatic Bekasi
105,2020        Honda               BRIO        SATYA E        1.2,Rp        159.000.000,Rp 164.000.000 (Cash),"Rp 3,24 jt/bln",51.347 km Automatic Bandung
106,,,,,
107,2020        Daihatsu               TERIOS        X        1.5,Rp        192.000.000,Rp 197.000.000 (Cash),"Rp 3,91 jt/bln",13.964 km Manual Jakarta Pusat
108,2021        Mitsubishi               PAJERO SPORT        DAKAR 4X2        2.4,Rp        548.000.000,Rp 563.000.000 (Cash),"Rp 11,17 jt/bln",19.734 km Automatic Tangerang Selatan
109,2021        Toyota               AVANZA        G        1.3,Rp        192.000.000,Rp 197.000.000 (Cash),"Rp 3,91 jt/bln",4.086 km Manual Jakarta Pusat
110,2021        Toyota               RAIZE        GR SPORT        1.0,Rp        230.000.000,Rp 236.000.000 (Cash),"Rp 4,69 jt/bln",25.520 km Automatic Bogor
111,2022        Toyota               RAIZE        GR SPORT        1.0,Rp        239.000.000,Rp 246.000.000 (Cash),"Rp 4,87 jt/bln",6.542 km Automatic Jakarta Selatan
112,2021        Honda               BRIO        RS        1.2,Rp        173.000.000,Rp 178.000.000 (Cash),"Rp 3,52 jt/bln",7.137 km Manual Bekasi
113,,,,,
114,2018        Toyota               RUSH        G        1.5,Rp        194.000.000,Rp 199.000.000 (Cash),"Rp 3,95 jt/bln",77.878 km Automatic Jakarta Timur
115,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",79.911 km Automatic Jakarta Pusat
116,2019        Nissan               GRAND LIVINA        VL        1.5,Rp        205.000.000,Rp 211.000.000 (Cash),"Rp 4,18 jt/bln",32.963 km Automatic Tangerang Selatan
117,2020        Toyota               KIJANG INNOVA        REBORN V DIESEL        2.4,Rp        398.000.000,Rp 409.000.000 (Cash),"Rp 8,11 jt/bln",78.060 km Automatic Bekasi
118,2017        Toyota               YARIS        S TRD        1.5,Rp        178.000.000,Rp 183.000.000 (Cash),"Rp 3,63 jt/bln",52.610 km Automatic Bandung
119,2019        Toyota               YARIS        S TRD        1.5,Rp        202.000.000,Rp 208.000.000 (Cash),"Rp 4,12 jt/bln",22.242 km Manual Bogor
120,2018        Daihatsu               TERIOS        R        1.5,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",93.935 km Automatic Bogor
121,2019        Honda               BRIO        RS        1.2,Rp        168.000.000,Rp 173.000.000 (Cash),"Rp 3,42 jt/bln",68.948 km Manual Tangerang Selatan
122,2017        Toyota               KIJANG INNOVA        REBORN G        2.0,Rp        251.000.000,Rp 258.000.000 (Cash),"Rp 5,11 jt/bln",63.309 km Manual Jakarta Pusat
123,2021        Toyota               RAIZE        GR SPORT TSS        1.0,Rp        241.000.000,Rp 248.000.000 (Cash),"Rp 4,91 jt/bln",30.269 km Automatic Jakarta Utara
124,2022        Toyota               RAIZE        TURBO G        1.0,Rp        207.000.000,Rp 213.000.000 (Cash),"Rp 4,22 jt/bln",10.330 km Manual Bekasi
125,2015        Honda               HR-V        S        1.5,Rp        193.000.000,Rp 198.000.000 (Cash),"Rp 3,93 jt/bln",106.076 km Manual Bogor
126,,,,,
127,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",88.759 km Automatic Depok
128,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        216.000.000,Rp 222.000.000 (Cash),"Rp 4,40 jt/bln",86.206 km Automatic Surabaya
129,2019        Toyota               AVANZA        VELOZ        1.5,Rp        194.000.000,Rp 199.000.000 (Cash),"Rp 3,95 jt/bln",72.781 km Manual Malang
130,2019        Toyota               KIJANG INNOVA        REBORN V        2.0,Rp        321.000.000,Rp 330.000.000 (Cash),"Rp 6,54 jt/bln",79.681 km Automatic Surabaya
131,2016        Honda               HR-V        E        1.5,Rp        221.000.000,Rp 227.000.000 (Cash),"Rp 4,50 jt/bln",56.620 km Automatic Tangerang Selatan
132,2020        Honda               JAZZ        RS        1.5,Rp        264.000.000,Rp 271.000.000 (Cash),"Rp 5,38 jt/bln",30.114 km Automatic Surabaya
133,,,,,
134,2019        Toyota               YARIS        S TRD        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",45.051 km Automatic Jakarta Utara
135,2019        Nissan               LIVINA        VL        1.5,Rp        210.000.000,Rp 216.000.000 (Cash),"Rp 4,28 jt/bln",51.618 km Automatic Jakarta Timur
136,2021        Honda               BRIO        SATYA E        1.2,Rp        166.000.000,Rp 171.000.000 (Cash),"Rp 3,38 jt/bln",26.517 km Automatic Jakarta Pusat
137,2018        Mitsubishi               XPANDER        SPORT        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",61.141 km Automatic Bogor
138,2022        Toyota               AVANZA        G        1.5,Rp        219.000.000,Rp 225.000.000 (Cash),"Rp 4,46 jt/bln",7.705 km Manual Jakarta Pusat
139,2021        Toyota               AVANZA        G        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",1.123 km Manual Bogor
140,2022        Toyota               RUSH        S GR SPORT        1.5,Rp        259.000.000,Rp 266.000.000 (Cash),"Rp 5,28 jt/bln",4.575 km Automatic Jakarta Timur
141,2022        Toyota               RAIZE        GR SPORT TSS        1.0,Rp        249.000.000,Rp 256.000.000 (Cash),"Rp 5,07 jt/bln",9.027 km Automatic Tangerang Selatan
142,2021        Mitsubishi               XPANDER        EXCEED        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",46.143 km Automatic Jakarta Utara
143,2021        Daihatsu               TERIOS        R        1.5,Rp        223.000.000,Rp 229.000.000 (Cash),"Rp 4,54 jt/bln",37.732 km Manual Jakarta Pusat
144,2020        Toyota               AVANZA        G        1.3,Rp        187.000.000,Rp 192.000.000 (Cash),"Rp 3,81 jt/bln",18.096 km Manual Tangerang Selatan
145,2021        Toyota               RAIZE        GR SPORT TSS        1.0,Rp        242.000.000,Rp 249.000.000 (Cash),"Rp 4,93 jt/bln",21.151 km Automatic Depok
146,,,,,
147,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        218.000.000,Rp 224.000.000 (Cash),"Rp 4,44 jt/bln",50.944 km Automatic Bekasi
148,2021        Daihatsu               ROCKY        R        1.0,Rp        210.000.000,Rp 216.000.000 (Cash),"Rp 4,28 jt/bln",36.841 km Automatic Tangerang Selatan
149,2021        Toyota               AVANZA        G        1.3,Rp        191.000.000,Rp 196.000.000 (Cash),"Rp 3,89 jt/bln",16.360 km Manual Bekasi
150,2021        Honda               CITY        RS HATCHBACK        1.5,Rp        269.000.000,Rp 276.000.000 (Cash),"Rp 5,48 jt/bln",13.703 km Automatic Bandung
151,2018        Mitsubishi               XPANDER        SPORT        1.5,Rp        205.000.000,Rp 211.000.000 (Cash),"Rp 4,18 jt/bln",70.864 km Automatic Jakarta Timur
152,2021        Mitsubishi               XPANDER        CROSS        1.5,Rp        265.000.000,Rp 272.000.000 (Cash),"Rp 5,40 jt/bln",33.631 km Automatic Bekasi
153,,,,,
154,2016        Honda               HR-V        S        1.5,Rp        198.000.000,Rp 204.000.000 (Cash),"Rp 4,03 jt/bln",100.793 km Automatic Bandung
155,2017        Honda               MOBILIO        RS        1.5,Rp        175.000.000,Rp 180.000.000 (Cash),"Rp 3,57 jt/bln",102.048 km Automatic Jakarta Selatan
156,2020        Suzuki               XL7        ALPHA        1.5,Rp        206.000.000,Rp 212.000.000 (Cash),"Rp 4,20 jt/bln",34.005 km Manual Bogor
157,2017        Toyota               YARIS        S TRD HEYKERS        1.5,Rp        188.000.000,Rp 193.000.000 (Cash),"Rp 3,83 jt/bln",83.938 km Automatic Jakarta Selatan
158,2018        Honda               BRIO        RS        1.2,Rp        141.000.000,Rp 145.000.000 (Cash),"Rp 2,87 jt/bln",80.163 km Manual Jakarta Barat
159,2019        Suzuki               BALENO        HATCHBACK        1.4,Rp        183.000.000,Rp 188.000.000 (Cash),"Rp 3,73 jt/bln",31.950 km Automatic Jakarta Selatan
160,2018        Daihatsu               AYLA        R        1.2,Rp        128.000.000,Rp 132.000.000 (Cash),"Rp 2,61 jt/bln",106.596 km Automatic Surabaya
161,2018        Honda               MOBILIO        RS        1.5,Rp        186.000.000,Rp 191.000.000 (Cash),"Rp 3,79 jt/bln",36.060 km Automatic Bandung
162,2019        Toyota               FORTUNER        VRZ 4X2        2.4,Rp        424.000.000,Rp 435.000.000 (Cash),"Rp 8,64 jt/bln",65.561 km Automatic Jakarta Timur
163,2018        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        210.000.000,Rp 216.000.000 (Cash),"Rp 4,28 jt/bln",41.395 km Manual Jakarta Pusat
164,2021        Mitsubishi               XPANDER        EXCEED        1.5,Rp        228.000.000,Rp 234.000.000 (Cash),"Rp 4,65 jt/bln",46.054 km Manual Bogor
165,2022        Toyota               RAIZE        TURBO G        1.0,Rp        220.000.000,Rp 226.000.000 (Cash),"Rp 4,48 jt/bln",7.655 km Automatic Jakarta Selatan
166,,,,,
167,2022        Toyota               AVANZA        VELOZ Q TSS        1.5,Rp        274.000.000,Rp 282.000.000 (Cash),"Rp 5,58 jt/bln",15.640 km Automatic Tangerang Selatan
168,2019        Honda               BRIO        SATYA E        1.2,Rp        157.000.000,Rp 162.000.000 (Cash),"Rp 3,20 jt/bln",29.832 km Automatic Jakarta Barat
169,2019        Suzuki               ERTIGA        GX        1.5,Rp        178.000.000,Rp 183.000.000 (Cash),"Rp 3,63 jt/bln",49.295 km Manual Jakarta Barat
170,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",87.741 km Automatic Tangerang Selatan
171,2021        Toyota               RAIZE        GR SPORT        1.0,Rp        226.000.000,Rp 232.000.000 (Cash),"Rp 4,60 jt/bln",32.376 km Automatic Bekasi
172,2018        Honda               HR-V        S        1.5,Rp        212.000.000,Rp 218.000.000 (Cash),"Rp 4,32 jt/bln",16.796 km Manual Bogor
173,,,,,
174,2021        Honda               BRIO        SATYA E        1.2,Rp        168.000.000,Rp 173.000.000 (Cash),"Rp 3,42 jt/bln",15.181 km Automatic Depok
175,2019        Honda               BRIO        RS        1.2,Rp        180.000.000,Rp 185.000.000 (Cash),"Rp 3,67 jt/bln",16.157 km Automatic Jakarta Utara
176,2022        Daihatsu               ROCKY        X        1.2,Rp        197.000.000,Rp 203.000.000 (Cash),"Rp 4,01 jt/bln",12.244 km Automatic Jakarta Selatan
177,2021        Toyota               AVANZA        G        1.3,Rp        193.000.000,Rp 198.000.000 (Cash),"Rp 3,93 jt/bln",17.306 km Manual Jakarta Barat
178,2018        Toyota               YARIS        S TRD        1.5,Rp        216.000.000,Rp 222.000.000 (Cash),"Rp 4,40 jt/bln",23.107 km Automatic Bogor
179,2019        Wuling               ALMAZ        LT LUX        1.5,Rp        232.000.000,Rp 238.000.000 (Cash),"Rp 4,73 jt/bln",69.787 km Automatic Surabaya
180,2019        Honda               BR-V        E        1.5,Rp        200.000.000,Rp 206.000.000 (Cash),"Rp 4,08 jt/bln",51.545 km Automatic Tangerang Selatan
181,2018        Toyota               RUSH        S        1.5,Rp        216.000.000,Rp 222.000.000 (Cash),"Rp 4,40 jt/bln",31.972 km Automatic Jakarta Selatan
182,2019        Honda               BRIO        SATYA E        1.2,Rp        157.000.000,Rp 162.000.000 (Cash),"Rp 3,20 jt/bln",40.953 km Automatic Jakarta Selatan
183,2017        Toyota               SIENTA        G        1.5,Rp        156.000.000,Rp 160.000.000 (Cash),"Rp 3,18 jt/bln",89.893 km Manual Depok
184,2019        Daihatsu               TERIOS        X        1.5,Rp        189.000.000,Rp 194.000.000 (Cash),"Rp 3,85 jt/bln",51.920 km Manual Jakarta Utara
185,2019        Honda               MOBILIO        E        1.5,Rp        180.000.000,Rp 185.000.000 (Cash),"Rp 3,67 jt/bln",27.383 km Automatic Tangerang Selatan
186,,,,,
